Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $361.53/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,PrivateNote
0xcfe5bf52cc5c2a495c7213b94700e463fa4446f0e5914fa952abd8e1def89bb1,3593329,1609459235,1/1/2021 0:00,0x40e891c004e472b596c278573137c3757d6de36a,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00088836,0.321168791,37.76,,,
0xb9859964014691ee3a8c945834e51a54eda70235c88c32c3316cc32dc8b795ce,3593333,1609459247,1/1/2021 0:00,0xb8cce567dbf78497c622266a9f4b132c7c477c82,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042326,0.153021188,37.76,,,
0x42a472067e37f4c6a6296e079018bf10c65f41fd885b26c545c662970596ecb5,3593336,1609459256,1/1/2021 0:00,0x40e891c004e472b596c278573137c3757d6de36a,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.0008886,0.321255558,37.76,,,
0x37570990b70fa1dc2fddbd020816776195447f245381398ab905fb3d802e36dc,3593350,1609459298,1/1/2021 0:01,0x8b742e88584562c2a33bc0ac38d3921b1d4f2325,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00102254,0.369678886,37.76,,,
0xdb4f6696191b7bd733f890509ed77a5357042f415550f1bde21f8b053ca9a787,3593368,1609459352,1/1/2021 0:02,0x223059ca679c4377c21124b44532a1d638b0caf5,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00088332,0.31934668,37.76,,,
0x7e52fc7ea21d8597f7ba9d69e457087f85dc5e2e9b93513bc10dc461bfad5db6,3593373,1609459367,1/1/2021 0:02,0x223059ca679c4377c21124b44532a1d638b0caf5,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00049932,0.18051916,37.76,,,
0x88007623128bd6bc16d9d7abc01bf9bdeb9dd725fa88b93a551f3002c796ead8,3593382,1609459394,1/1/2021 0:03,0x057f3d57e3eb2d05fd5793e2a3832f143d781553,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042254,0.152760886,37.76,,,
0x71e4d4619b1880076044d1d1a598633c4dad49205c5f926bbd180ba9553f8ee1,3593412,1609459484,1/1/2021 0:04,0x631fc1ea2270e98fbd9d92658ece0f5a269aa161,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00072278,0.261306653,37.76,,,
0x081475f178d9d4c0f6c4f6a3aa269a2702851e35cc405d855caa562b1a5cc094,3593414,1609459490,1/1/2021 0:04,0x50df7d6ef23c1e77dbcf49031a7f37e77e8fe0ba,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.0008886,0.321255558,37.76,,,
0xcb43a4d314d4db03c03b0ef72da68b759c4080652e9978bc1a70a763492c0634,3593425,1609459523,1/1/2021 0:05,0x718e5e2cdd2337c016d75de6ca183aceebd38fb1,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.0005046,0.182428038,37.76,,,
0x8e5e822a38e7c624a53df3ebfa661cb64f06b4339a9499841aa59fd37984af1a,3593438,1609459562,1/1/2021 0:06,0xce991ea7cc57e7a7385f05057593bdbfc52a644e,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.0008886,0.321255558,37.76,,,
0x757601dca53721f5db0026f4b853c3b1a2235b41d95165c38dd0cbadda0ffa62,3593456,1609459616,1/1/2021 0:06,0x3be204e2979113fa52fa6b0942af8e4ad63bee13,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.0008886,0.321255558,37.76,,,
