Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $372.51/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,PrivateNote
0x408f4ca7f399306dbd1ce4f30b128ab7121a3276e06a70740b286c8c5c62e147,4082784,1610928017,1/18/2021 0:00,0x057f3d57e3eb2d05fd5793e2a3832f143d781553,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042278,0.157489778,45.34,,,
0xbc815c43cb5d4dd820e7ca7901bcde3e91f4ca9234db3a4829180bb24d11db6d,4082786,1610928023,1/18/2021 0:00,0xc746e837db0e5b49586599063e5045807ee78df9,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042254,0.157400375,45.34,,,
0x2ccf86c6fb372630de627de52df42893e64e020bb413f234eaa0847f6fb1e0e9,4082787,1610928026,1/18/2021 0:00,0x0b501c2b7af248a679526669e8f923576c854d1f,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042302,0.15757918,45.34,,,
0xc1ebdb7a182839bb1d46be5c2ecfbe4c9a6a88a1e5d6bdd295fa13afff4f3431,4082788,1610928029,1/18/2021 0:00,0xd0402d9726294d50732c6ada1ad4e3e08f51ad2f,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042302,0.15757918,45.34,,,
0x9dcaca1434e08d6c1bb38c7cc18e24af791cc03b74b89c62f80ded6e72a38932,4082796,1610928053,1/18/2021 0:00,0x6ac7615b0493b843003fe4406c5af0e91cf927dd,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042254,0.157400375,45.34,,,
0x4fce5cb981b954f52a2542ba5cf258ab7c83bc82fef599234252bf525866e3fa,4082799,1610928062,1/18/2021 0:01,0x8e89bb89ed362983d96e18ac6cce9da6f471ef75,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042302,0.15757918,45.34,,,
0xc63cf336605a440e32c02f0e0244c59ef5083e175bcbccb80f590955023c8573,4082803,1610928074,1/18/2021 0:01,0x0ebd542894d196f481a1d7beff2a77388a6f1b50,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042302,0.15757918,45.34,,,
0x27bd79d11e085735e4374736e480394e6d839e4cc6b18162d66ea8600877b08d,4082804,1610928077,1/18/2021 0:01,0x5e360bd922eaf29dff54e94a214d27bf770912eb,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042278,0.157489778,45.34,,,
0x25d2b650988f63a76ca33846417005d015c3875869c633de191dde0bdaf42a60,4082804,1610928077,1/18/2021 0:01,0x064143a862a2436982ccf1754bc43544e5dc3bc7,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042302,0.15757918,45.34,,,
0x0e96b6ff6c227918effe09a7d7310c2e88f4d247af8dc6e00b3a4667b5c270b1,4082812,1610928101,1/18/2021 0:01,0x480efa3fecee9eee06fce6f2413ab906fd557711,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.000950802,0.354183253,45.34,,,
