Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $372.8/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,PrivateNote
0xb3a968984b52452ad566e516a42100ddb9d69275948692b06013cb815bc1ffcf,3766042,1609977626,1/7/2021 0:00,0x057f3d57e3eb2d05fd5793e2a3832f143d781553,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042254,0.157522912,43.62,,,
0x88e18c656a57222057f6ac1d3c4625c06ff140370cdb8a4ba003763552e0f1b9,3766044,1609977632,1/7/2021 0:00,0x2e7a5f3c91aa0be27d4c57909296ed982ef4240b,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042254,0.157522912,43.62,,,
0x4777ce2fb84cf4d1029a53726237ac564d88c9d84823517639b5983e71dbf423,3766046,1609977638,1/7/2021 0:00,0x59b6d3d9305e117c7ebfdd4e672b383e761d2d73,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042302,0.157701856,43.62,,,
0x580d96a04b70d641164276affe3479f11a32173741116e7d5f7f185e44b11cdd,3766048,1609977644,1/7/2021 0:00,0xf10c8f2a542da0264f6b7af0ca9b6c69b317d76f,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.00042302,0.157701856,43.62,,,
0x0b10192404cbdcf10437d864a3000a3d7922da1ba8967212bcaaac50ce339422,3766053,1609977659,1/7/2021 0:00,0xd8fa0957b8e3c3b07210a9b1c14da07572be3a69,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.0008886,0.33127008,43.62,,,
0xfa72c1bfccbff8de8c4c78345a3d4dfb876496b72d79ec320032a6c7c5035c27,3766069,1609977707,1/7/2021 0:01,0xf88a7ec6ed9dbf17406ed1c3d7fce4164c87e1a6,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.0008886,0.33127008,43.62,,,
0x53a8575d75b8c05074414a55ec65e5b66929ae53807105e8c407563d5eba77e8,3766123,1609977869,1/7/2021 0:04,0x700988298239570fa006451cc7959f0fc3e5b40d,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.000902773,0.336553774,43.62,,,
0x9f19e9926d64b81a5aa54356b3fcc5b752168297539e39c84764ba53e3d0c4ae,3766135,1609977905,1/7/2021 0:05,0x33a4ff5390ef808d7455d0d221d5ecdcc0eb3699,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.0008886,0.33127008,43.62,,,
0x812b6c627039352609bf7fd2a434f6e5d159517b75de4c6fd87efefe4432be7f,3766139,1609977917,1/7/2021 0:05,0xa5159e0a53863fb27030b43e35d38d844c14746e,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.003289741,1.226415445,43.62,,,
0x1160f3ac453cd8e88ae0505db33909ddafd1ce59b40fb01c647509b85888a8d1,3766205,1609978115,1/7/2021 0:08,0x675c6e70f93746800bcc9460b437c8b3ba9ba5b6,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,0,0,0,0.000830921,0.309767349,43.62,,,
